#wlgth,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,rho,drho,mean,stdev
526.87,0.119,0.0002,0.1306,0.0001,0.138,0.0001,0.1071,9.80E-05,0.1,0.0002,0.1585,0.0011,0.1255,0.0215
528.39,0.1193,0.0002,0.1322,0.0002,0.1397,0.0001,0.1081,8.14E-05,0.1007,0.0002,0.1591,0.0011,0.1265,0.0216
529.9,0.1197,0.0001,0.1339,0.0001,0.1418,0.0001,0.1093,8.97E-05,0.1015,0.0002,0.1598,0.0011,0.1277,0.0217
531.42,0.1201,0.0002,0.1355,0.0002,0.1438,0.0002,0.1108,9.61E-05,0.1023,0.0001,0.1607,0.0012,0.1289,0.0219
532.93,0.1204,0.0003,0.1372,0.0002,0.1456,0.0001,0.1119,9.13E-05,0.1032,0.0002,0.1614,0.0011,0.1299,0.022
534.45,0.1207,0.0002,0.1388,0.0002,0.1475,0.0001,0.1129,0.0001,0.104,0.0002,0.1621,0.0011,0.131,0.0222
535.97,0.1209,0.0002,0.1404,0.0002,0.1493,0.0001,0.1134,0.0001,0.1047,0.0002,0.1627,0.0011,0.1319,0.0225
537.49,0.1214,0.0002,0.1421,0.0002,0.1514,0.0001,0.1141,0.0001,0.1056,0.0002,0.1636,0.0011,0.133,0.0228
539,0.1218,0.0002,0.1438,0.0002,0.1535,0.0002,0.1152,9.75E-05,0.1065,0.0002,0.1645,0.0011,0.1342,0.0231
540.52,0.1223,0.0002,0.1456,0.0002,0.1556,0.0001,0.1158,0.0001,0.1073,0.0002,0.1653,0.0011,0.1353,0.0234
542.04,0.1226,0.0002,0.1473,0.0002,0.1575,0.0001,0.1164,0.0001,0.1082,0.0002,0.1659,0.0012,0.1363,0.0237
543.56,0.1229,0.0003,0.149,0.0002,0.1596,0.0001,0.1172,9.69E-05,0.1091,0.0002,0.1667,0.0012,0.1374,0.0241
545.08,0.1235,0.0002,0.1508,0.0002,0.1618,0.0002,0.1184,0.0001,0.1101,0.0002,0.1676,0.0011,0.1387,0.0244
546.6,0.1238,0.0002,0.1526,0.0002,0.1639,0.0002,0.1193,8.06E-05,0.111,0.0002,0.1685,0.0012,0.1399,0.0248
548.12,0.1242,0.0003,0.1543,0.0002,0.166,0.0001,0.1205,0.0001,0.112,0.0002,0.1694,0.0012,0.1411,0.0251
549.64,0.1247,0.0002,0.1562,0.0002,0.1682,0.0001,0.1216,0.0001,0.113,0.0001,0.1703,0.0012,0.1423,0.0255
551.16,0.1251,0.0002,0.1579,0.0002,0.1702,0.0001,0.1225,9.19E-05,0.1141,0.0002,0.1711,0.0012,0.1435,0.0258
552.68,0.1253,0.0003,0.1596,0.0002,0.1723,0.0001,0.1227,9.29E-05,0.115,0.0002,0.1718,0.0012,0.1445,0.0263
554.2,0.1256,0.0002,0.1614,0.0002,0.1744,0.0001,0.1229,0.0001,0.1162,0.0002,0.1726,0.0012,0.1455,0.0268
555.72,0.1262,0.0002,0.1631,0.0002,0.1765,0.0001,0.1232,0.0001,0.1173,0.0001,0.1735,0.0012,0.1466,0.0273
557.24,0.1267,0.0002,0.1647,0.0002,0.1786,0.0001,0.1236,0.0001,0.1183,0.0002,0.1743,0.0012,0.1477,0.0277
558.76,0.1271,0.0003,0.1664,0.0002,0.1807,0.0001,0.1242,0.0001,0.1195,0.0001,0.1752,0.0012,0.1488,0.0281
560.28,0.1275,0.0003,0.1682,0.0002,0.1828,0.0001,0.1249,0.0001,0.1207,0.0002,0.1761,0.0012,0.15,0.0286
561.8,0.1279,0.0003,0.1698,0.0002,0.1848,0.0001,0.1255,0.0001,0.1218,0.0002,0.1769,0.0012,0.1511,0.029
563.33,0.1284,0.0002,0.1714,0.0002,0.187,0.0001,0.1267,0.0001,0.1229,0.0002,0.1779,0.0012,0.1524,0.0294
564.85,0.129,0.0002,0.173,0.0002,0.189,0.0001,0.1274,0.0001,0.124,0.0002,0.1787,0.0013,0.1535,0.0297
566.37,0.1295,0.0003,0.1747,0.0002,0.1911,0.0001,0.1284,0.0001,0.1253,0.0002,0.1795,0.0012,0.1547,0.0301
567.9,0.1301,0.0002,0.1764,0.0002,0.1932,0.0002,0.1303,9.55E-05,0.1264,0.0001,0.1805,0.0013,0.1562,0.0303
569.42,0.1304,0.0003,0.178,0.0002,0.1951,0.0002,0.1322,0.0001,0.1275,0.0001,0.1815,0.0013,0.1574,0.0306
570.94,0.1309,0.0003,0.1796,0.0002,0.1971,0.0002,0.1334,9.48E-05,0.1287,0.0002,0.1823,0.0013,0.1586,0.0309
572.47,0.1313,0.0002,0.1814,0.0002,0.1993,0.0001,0.1351,0.0001,0.1299,0.0002,0.1832,0.0013,0.16,0.0313
573.99,0.1317,0.0002,0.183,0.0002,0.2014,0.0002,0.1366,0.0001,0.1311,0.0001,0.1842,0.0012,0.1613,0.0316
575.52,0.1322,0.0002,0.1846,0.0002,0.2035,0.0001,0.1382,0.0001,0.1323,0.0001,0.1852,0.0013,0.1626,0.032
577.04,0.1327,0.0002,0.1863,0.0002,0.2056,0.0001,0.1398,0.0002,0.1335,0.0002,0.1862,0.0013,0.164,0.0323
578.57,0.1333,0.0003,0.188,0.0002,0.2078,0.0002,0.1416,0.0001,0.1346,0.0002,0.1873,0.0012,0.1654,0.0327
580.09,0.1338,0.0002,0.1896,0.0003,0.2099,0.0001,0.1428,0.0001,0.1358,0.0002,0.1883,0.0013,0.1667,0.0331
581.62,0.1342,0.0003,0.1914,0.0002,0.212,0.0001,0.1435,0.0002,0.1371,0.0002,0.1893,0.0013,0.1679,0.0336
583.14,0.1345,0.0002,0.193,0.0002,0.214,0.0002,0.1437,0.0002,0.1385,0.0002,0.1903,0.0013,0.169,0.0341
584.67,0.1349,0.0002,0.1945,0.0002,0.216,0.0002,0.1425,0.0001,0.1399,0.0002,0.1913,0.0013,0.1699,0.0348
586.19,0.1356,0.0003,0.1961,0.0002,0.2182,0.0002,0.1425,0.0001,0.1413,0.0002,0.1922,0.0013,0.171,0.0354
587.72,0.1363,0.0002,0.1977,0.0003,0.2204,0.0001,0.1437,0.0001,0.1428,0.0002,0.1935,0.0013,0.1724,0.0357
589.25,0.1367,0.0002,0.199,0.0003,0.2223,0.0002,0.1439,0.0001,0.1441,0.0002,0.1944,0.0013,0.1734,0.0362
590.78,0.1371,0.0002,0.2005,0.0003,0.2243,0.0001,0.1445,0.0002,0.1455,0.0002,0.1956,0.0013,0.1746,0.0367
592.3,0.1378,0.0002,0.202,0.0002,0.2264,0.0001,0.1457,0.0001,0.1468,0.0002,0.1967,0.0013,0.1759,0.0371
593.83,0.1383,0.0003,0.2034,0.0003,0.2285,0.0001,0.1472,0.0002,0.1483,0.0002,0.1978,0.0013,0.1772,0.0374
595.36,0.1391,0.0002,0.2049,0.0003,0.2306,0.0002,0.1487,0.0001,0.1499,0.0002,0.1991,0.0013,0.1787,0.0377
596.89,0.1396,0.0003,0.2062,0.0003,0.2326,0.0001,0.1502,0.0002,0.1516,0.0002,0.2001,0.0013,0.18,0.0379
598.42,0.1404,0.0003,0.2074,0.0003,0.2345,0.0001,0.1516,0.0002,0.153,0.0002,0.2013,0.0013,0.1814,0.0381
