         134227839 function calls (133581560 primitive calls) in 566.056 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.169    0.169   10.969   10.969 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_initial.py:678(dif_initial)
   295074    0.150    0.000    0.150    0.000 {built-in method numpy.empty}
  1308075    0.147    0.000    0.147    0.000 {built-in method builtins.callable}
   105216    0.145    0.000    2.504    0.000 <__array_function__ internals>:2(nansum)
    26304    0.140    0.000    0.209    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:368(calc_lapse_rate_moist)
   973248    0.136    0.000    0.136    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:989(_einsum_dispatcher)
  1302932    0.133    0.000    0.133    0.000 {pandas._libs.lib.is_float}
1629059/1628454    0.124    0.000    0.125    0.000 {built-in method builtins.len}
   243501    0.111    0.000    0.111    0.000 {built-in method numpy.zeros}
   161112    0.106    0.000    1.998    0.000 <__array_function__ internals>:2(einsum)
    26304    0.103    0.000    0.347    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:394(calc_longwave_irradiance)
   157827    0.096    0.000    0.096    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   126323    0.095    0.000    0.148    0.000 C:\Program Files\JetBrains\PyCharm Community Edition 2022.2.3\plugins\python-ce\helpers\pydev\_pydevd_frame_eval\pydevd_frame_tracing.py:21(update_globals_dict)
   161112    0.088    0.000    0.714    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\einsumfunc.py:997(einsum)
   719267    0.085    0.000    0.085    0.000 {method 'items' of 'dict' objects}
   501700    0.083    0.000    0.083    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2106(_sum_dispatcher)
   399634    0.083    0.000    0.083    0.000 {built-in method math.exp}
   210659    0.082    0.000    0.140    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:208(_arrays_for_stack_dispatcher)
   360401    0.078    0.000    0.078    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   360400    0.075    0.000    0.075    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\lib\function_base.py:1149(_diff_dispatcher)
   794929    0.071    0.000    0.071    0.000 {method 'append' of 'list' objects}
     1096    0.067    0.000    3.686    0.003 C:\Users\liuha\Desktop\TBM_3.0\src\model\RTM_Optical.py:340(BRF_hemi_dif_func)
   402456    0.066    0.000    0.066    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:1054(copyto)
    22360    0.065    0.000    0.099    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:100(e2phot)
   216595    0.060    0.000    0.060    0.000 {built-in method builtins.hasattr}
   127878    0.054    0.000    0.054    0.000 {method 'update' of 'dict' objects}
    27400    0.050    0.000    0.050    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:52(temp_term)
    26304    0.045    0.000    0.045    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal_funcs.py:65(calc_rho)
   210696    0.044    0.000    0.044    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:143(concatenate)
    26304    0.039    0.000    0.039    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\Ebal_funcs.py:90(calc_c_p)
   210892    0.038    0.000    0.038    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\multiarray.py:716(dot)
   199816    0.038    0.000    0.038    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\optimize\zeros.py:70(results_c)
   210531    0.036    0.000    0.036    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2612(_amax_dispatcher)
    22360    0.034    0.000    0.034    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:90(ephoton)
        2    0.032    0.016    0.032    0.016 {built-in method show}
    26304    0.031    0.000    0.031    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:344(calc_c_p)
        1    0.031    0.031    0.031    0.031 C:\Users\liuha\anaconda3\lib\site-packages\matplotlib\patches.py:2846(ArrowStyle)
     1014    0.028    0.000    0.032    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:2889(_bind)
     2747    0.026    0.000    0.038    0.000 C:\Users\liuha\anaconda3\lib\inspect.py:625(cleandoc)
   210436    0.026    0.000    0.026    0.000 C:\Users\liuha\anaconda3\lib\site-packages\numpy\core\shape_base.py:20(_atleast_1d_dispatcher)
   199846    0.026    0.000    0.026    0.000 {built-in method _operator.index}
     1096    0.023    0.000    0.048    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:61(phi_onset)
      139    0.023    0.000    0.023    0.000 {built-in method io.open_code}
        1    0.022    0.022  343.490  343.490 C:\Users\liuha\Desktop\TBM_3.0\src\model\model.py:183(mod_list)
    26304    0.021    0.000    0.021    0.000 C:\Users\liuha\Desktop\TBM_3.0\src\model\TIR.py:304(calc_lambda)
