wavelength	RSR_412	RSR_443	RSR_469	RSR_488	RSR_531	RSR_551	RSR_555	RSR_645	RSR_667	RSR_678	RSR_748	RSR_859	RSR_869	RSR_1240	RSR_1640	RSR_2130
441	0.00012652	0.99661	0	0.00070136	5.17E-05	3.89E-05	0	0	1.02E-05	1.11E-05	2.85E-06	0	6.98E-06	0	0	0
442	0.00011735	0.99694	0	0.00073204	5.57E-05	3.79E-05	0	0	9.84E-06	1.06E-05	3.14E-06	0	6.81E-06	0	0	0
443	0.00010819	0.99411	0	0.00076271	5.96E-05	3.69E-05	0	0	9.45E-06	1.01E-05	3.42E-06	0	6.65E-06	0	0	0
444	9.90E-05	0.9798	0	0.00079339	6.36E-05	3.58E-05	0	0	9.05E-06	9.57E-06	3.70E-06	0	6.48E-06	0	0	0
445	8.99E-05	0.91925	0	0.00082407	6.76E-05	3.48E-05	0	0	8.66E-06	9.06E-06	3.99E-06	0	6.31E-06	0	0	0
446	8.07E-05	0.75648	0	0.00085475	7.16E-05	3.38E-05	0	0	8.26E-06	8.55E-06	4.27E-06	0	6.15E-06	0	0	0
447	7.15E-05	0.50082	0	0.00088543	7.56E-05	3.27E-05	0	0	7.87E-06	8.04E-06	4.55E-06	0	5.98E-06	0	0	0
448	6.24E-05	0.23972	0	0.0009161	7.96E-05	3.17E-05	0	0	7.48E-06	7.52E-06	4.84E-06	0	5.82E-06	0	0	0
449	5.32E-05	0.095229	0	0.00094678	8.36E-05	3.06E-05	0	0	7.08E-06	7.01E-06	5.12E-06	0	5.65E-06	0	0	0
450	4.41E-05	0.038308	0	0.00097746	8.76E-05	2.96E-05	0	0	6.69E-06	6.50E-06	5.40E-06	0	5.48E-06	0	0	0
451	5.47E-05	0.01129	0	0.0010376	9.29E-05	3.32E-05	0	0	6.75E-06	6.79E-06	5.31E-06	0	5.47E-06	0	0	0
452	6.54E-05	0.0032588	0.0162	0.0010978	9.82E-05	3.68E-05	0	0	6.82E-06	7.08E-06	5.21E-06	0	5.45E-06	0	0	0
453	7.61E-05	0.00098733	0.03811	0.001158	0.00010352	4.04E-05	0	0	6.89E-06	7.36E-06	5.12E-06	0	5.44E-06	0	0	0
454	8.67E-05	0.00066822	0.09152	0.0012182	0.00010884	4.40E-05	0	0	6.95E-06	7.65E-06	5.02E-06	0	5.43E-06	0	0	0
455	9.74E-05	0.0001765	0.19656	0.0012784	0.00011415	4.76E-05	0	0	7.02E-06	7.94E-06	4.92E-06	0	5.41E-06	0	0	0
456	0.00010809	0.0002015	0.36074	0.0013386	0.00011947	5.12E-05	0	0	7.08E-06	8.23E-06	4.83E-06	0	5.40E-06	0	0	0
457	0.00011876	0.00023857	0.56673	0.0013987	0.00012479	5.48E-05	0	0	7.15E-06	8.52E-06	4.73E-06	0	5.38E-06	0	0	0
458	0.00012943	0.00026444	0.76415	0.0014589	0.00013011	5.84E-05	0	0	7.22E-06	8.80E-06	4.64E-06	0	5.37E-06	0	0	0
459	0.00014011	0.00017315	0.91403	0.0015191	0.00013542	6.20E-05	0	0	7.28E-06	9.09E-06	4.54E-06	0	5.35E-06	0	0	0
460	0.00015078	8.19E-05	0.98628	0.0015793	0.00014074	6.56E-05	0	0	7.35E-06	9.38E-06	4.44E-06	0	5.34E-06	0	0	0
461	0.00015961	7.66E-05	0.9994	0.0017112	0.00014694	8.04E-05	0	0	7.50E-06	8.98E-06	4.37E-06	0	5.62E-06	0	0	0
462	0.00016845	7.12E-05	0.96375	0.001843	0.00015315	9.53E-05	0	0	7.65E-06	8.57E-06	4.30E-06	0	5.89E-06	0	0	0
463	0.00017728	6.59E-05	0.9103	0.0019749	0.00015935	0.00011013	0	0	7.81E-06	8.17E-06	4.22E-06	0	6.17E-06	0	0	0
464	0.00018611	6.06E-05	0.86804	0.0021068	0.00016556	0.00012498	0	0	7.96E-06	7.76E-06	4.15E-06	0	6.45E-06	0	0	0
465	0.00019494	5.53E-05	0.85392	0.0022386	0.00017177	0.00013984	0	0	8.11E-06	7.36E-06	4.07E-06	0	6.72E-06	0	0	0
466	0.00020378	5.00E-05	0.8574	0.0023705	0.00017797	0.0001547	0	0	8.26E-06	6.95E-06	4.00E-06	0	7.00E-06	0	0	0
467	0.00021261	4.47E-05	0.8663	0.0025024	0.00018418	0.00016955	0	0	8.42E-06	6.55E-06	3.92E-06	0	7.28E-06	0	0	0
468	0.00022144	3.94E-05	0.8814	0.0026343	0.00019038	0.00018441	0	0	8.57E-06	6.14E-06	3.85E-06	0	7.56E-06	0	0	0
469	0.00023028	3.41E-05	0.9054	0.0027661	0.00019658	0.00019926	0	0	8.72E-06	5.74E-06	3.77E-06	0	7.83E-06	0	0	0
470	0.00023911	2.87E-05	0.92127	0.002898	0.00020279	0.00021412	0	0	8.87E-06	5.33E-06	3.70E-06	0	8.11E-06	0	0	0
471	0.00025955	3.18E-05	0.91911	0.0026504	0.00021889	0.00020921	0	0	8.49E-06	5.09E-06	3.59E-06	0	7.65E-06	0	0	0
472	0.00028	3.49E-05	0.88962	0.0024028	0.00023499	0.00020431	0	0	8.10E-06	4.84E-06	3.49E-06	0	7.20E-06	0	0	0
473	0.00030044	3.79E-05	0.82768	0.002157	0.00025109	0.0001994	0	0	7.71E-06	4.60E-06	3.38E-06	0	6.74E-06	0	0	0
474	0.00032089	4.10E-05	0.72468	0.0024062	0.00026719	0.0001945	0	0	7.32E-06	4.35E-06	3.27E-06	0	6.28E-06	0	0	0
475	0.00034133	4.41E-05	0.59029	0.0027113	0.00028329	0.00018959	0	0	6.93E-06	4.11E-06	3.17E-06	0	5.83E-06	0	0	0
476	0.00036177	4.71E-05	0.43109	0.0038381	0.0002994	0.00018469	0	0	6.54E-06	3.86E-06	3.06E-06	0	5.37E-06	0	0	0
