wl	t1	t3	t4	t5	t12	t16
427	392.0500107	0.240913436	0.3675668	0.380733436	0.088551673	7.63E-41
428	404.903688	0.239776981	0.369249741	0.379992833	0.088537389	9.86E-41
429	382.3452476	0.238694182	0.371431309	0.379789291	0.088658291	1.27E-40
430	309.282532	0.237588741	0.373207667	0.379140963	0.088669815	1.65E-40
431	289.1843069	0.236457667	0.374728815	0.378253981	0.088607333	2.12E-40
432	447.6553264	0.235384792	0.376787528	0.377956226	0.088689887	2.73E-40
433	404.4598136	0.234291887	0.378506396	0.377308358	0.08868083	3.50E-40
434	366.5350631	0.233193278	0.380104111	0.376506704	0.0886375	4.51E-40
435	420.407529	0.232097308	0.381569519	0.375599231	0.088561096	5.78E-40
436	443.3864375	0.231078415	0.38360734	0.375317	0.088643245	7.40E-40
437	451.2453287	0.230057519	0.385683423	0.375064615	0.088729192	9.47E-40
438	402.6616385	0.229029346	0.387573558	0.374623962	0.088765538	1.21E-39
439	395.2168548	0.227910596	0.388528692	0.373228423	0.088549731	1.54E-39
440	436.8364863	0.226819385	0.390277423	0.372626058	0.088522154	1.97E-39
441	430.9504657	0.225706431	0.392320529	0.372337392	0.088549039	2.51E-39
442	450.545765	0.224334519	0.393856827	0.371462404	0.088356058	3.20E-39
443	463.1771027	0.222144216	0.394454392	0.369413725	0.08762998	4.08E-39
444	452.6875686	0.22209296	0.39674452	0.36970924	0.08811472	5.17E-39
445	475.5404733	0.220905235	0.397804745	0.368462392	0.087878353	6.55E-39
446	415.4517962	0.21986464	0.3997534	0.3681198	0.08789262	8.30E-39
447	461.8694888	0.21936572	0.40209942	0.36834404	0.08820688	1.05E-38
448	470.836337	0.21857118	0.4034053	0.36747884	0.08817282	1.33E-38
449	479.0028518	0.21777414	0.40518956	0.3670577	0.08823964	1.68E-38
450	473.8949641	0.217011857	0.407437959	0.367100878	0.088418673	2.12E-38
451	507.9146439	0.216119776	0.409009857	0.366492306	0.088395102	2.67E-38
452	482.9454449	0.21523249	0.410693776	0.365976551	0.088394388	3.36E-38
453	443.5253269	0.21426551	0.412234347	0.36531151	0.088327429	4.22E-38
454	471.8914906	0.213379688	0.413958271	0.36483675	0.088330146	5.30E-38
455	463.4412418	0.212471469	0.415573939	0.364264776	0.088297551	6.66E-38
456	481.7660363	0.211549167	0.417060438	0.363580208	0.088228667	8.36E-38
457	481.5952331	0.210646208	0.418672479	0.363028813	0.088191646	1.05E-37
458	480.2668838	0.209724191	0.419812936	0.362064511	0.088044809	1.31E-37
459	469.2737838	0.208809125	0.421139167	0.361268354	0.0879375	1.64E-37
460	466.7277538	0.207931383	0.42275317	0.36072283	0.087903553	2.04E-37
461	484.0431402	0.207032809	0.423969894	0.359858979	0.087775638	2.55E-37
462	488.0787689	0.206160383	0.425622915	0.359381234	0.087746426	3.18E-37
463	491.2232734	0.205273	0.427204106	0.358831851	0.08769334	3.96E-37
464	477.2610063	0.204382043	0.428311761	0.357875565	0.087539152	4.92E-37
465	467.2414737	0.203556565	0.430270065	0.357702391	0.087584109	6.11E-37
466	481.7515552	0.202687826	0.432120109	0.357422891	0.08758537	7.58E-37
467	450.36157	0.201698478	0.433327761	0.356542891	0.0874015	9.40E-37
468	472.9187254	0.2007485	0.434377891	0.355552109	0.087200652	1.17E-36
469	479.4343709	0.199697511	0.4356708	0.354737444	0.087002378	1.44E-36
470	460.5987493	0.198464822	0.436706622	0.3536676	0.086671222	1.78E-36
471	465.5504354	0.197677739	0.438084652	0.353011022	0.086599717	2.21E-36
472	483.74049	0.196703477	0.439270091	0.352163864	0.086405977	2.72E-36
473	470.3629242	0.195628822	0.440279822	0.351144978	0.086131556	3.35E-36
474	478.3941064	0.194637533	0.441077244	0.349949422	0.085850156	4.14E-36
475	489.0697998	0.19334425	0.441512432	0.348395795	0.085363886	5.10E-36
476	471.5244291	0.191943205	0.442011614	0.346865932	0.084841091	6.27E-36
477	465.9576945	0.190714591	0.442594773	0.345495477	0.084409159	7.70E-36
478	494.6228611	0.190156614	0.444041205	0.345048409	0.084437295	9.46E-36
479	474.3080447	0.189969047	0.445869279	0.345044163	0.084701372	1.16E-35
480	490.2879355	0.189838614	0.447745705	0.345105182	0.084999386	1.42E-35
481	476.3246635	0.18964193	0.449866767	0.345332465	0.085313581	1.74E-35
