site_id       plot_id       grid_id       latitude      long          elev          slope         aspect        area          lat_c                 lon_c                 northing      easting       estbl_by                  tree_ht       sitedesc
.             " "           "230,1"       .             .             1380          14            20            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "231,1"       .             .             1440          8             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "233,3"       .             .             1390          2             60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "234,8"       .             .             1420          8             90            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "235,4"       .             .             1350          2             320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "236,7"       .             .             1500          5             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "237,5"       .             .             1420          10            230           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "242,5"       .             .             1360          2             100           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "243,3"       .             .             1380          3             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "243,3"       .             .             1360          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "244,1"       .             .             1500          8             360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "246,8"       .             .             1360          6             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "247,6"       .             .             1370          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "247,7"       .             .             1360          3             140           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "247,8"       .             .             1380          5             40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "248,7"       .             .             1400          13            320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "249,6"       .             .             1380          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "251,9"       .             .             1380          2             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "254,1"       .             .             1390          4             240           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "257,1"       .             .             1360          9             290           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "259,1"       .             .             1360          7             310           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "260,1"       .             .             1320          5             40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "261,1"       .             .             1360          20            300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "263,8"       .             .             1380          6             140           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "266,1"       .             .             1470          5             500           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "267,7"       .             .             1420          11            120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "271,8"       .             .             1350          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "272,8"       .             .             1355          3             300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "274,8"       .             .             1360          5             110           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "278,7"       .             .             1400          10            360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "310,5"       .             .             1270          9             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "313,5"       .             .             1240          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "314,7"       .             .             1420          5             180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "318,3"       .             .             1395          10            150           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "318,6"       .             .             1435          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "318,7"       .             .             1440          30            246           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "320,7"       .             .             1330          2             45            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "321,1"       .             .             1420          6             110           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "323,1"       .             .             1360          9             340           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "329,2"       .             .             1480          5             180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "330,1"       .             .             1460          11            10            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "330,1"       .             .             1380          16            180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "331,1"       .             .             1430          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "333,3"       .             .             1410          10            80            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "334,8"       .             .             1440          15            180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "335,4"       .             .             1335          5             280           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "336,7"       .             .             1480          6             180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "337,5"       .             .             1400          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "342,5"       .             .             1370          3             80            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "343,3"       .             .             1440          13            320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "343,3"       .             .             1350          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "344,1"       .             .             1515          16            110           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "346,8"       .             .             1360          2             30            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "347,6"       .             .             1380          4             20            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "347,7"       .             .             1370          10            110           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "347,8"       .             .             1360          5             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "348,7"       .             .             1400          4             320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "349,6"       .             .             1380          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "351,9"       .             .             1380          5             330           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "354,1"       .             .             1385          9             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "357,1"       .             .             1370          20            340           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "359,1"       .             .             1370          10            40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "360,1"       .             .             1340          11            180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "361,1"       .             .             1300          10            200           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "363,8"       .             .             1380          2             360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "366,1"       .             .             1480          5             240           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "367,7"       .             .             1440          1             140           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "371,8"       .             .             1360          20            340           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "372,8"       .             .             1355          2             240           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "374,8"       .             .             -999          3             280           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "378,7"       .             .             1400          4             120           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "410,5"       .             .             1290          9             200           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "413,5"       .             .             1240          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "414,7"       .             .             1420          5             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "418,3"       .             .             1290          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "418,6"       .             .             1440          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "418,7"       .             .             1420          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "420,7"       .             .             1350          7             60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "421,1"       .             .             1430          7             225           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "423,1"       .             .             1350          10            225           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "429,2"       .             .             1480          10            220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "430,1"       .             .             1440          15            260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "430,1"       .             .             1400          40            180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "431,1"       .             .             1420          2             180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "433,3"       .             .             1410          5             270           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "434,8"       .             .             1485          10            160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "435,4"       .             .             -999          5             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "436,7"       .             .             1480          6             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "437,5"       .             .             1410          5             80            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "442,5"       .             .             1370          3             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "443,3"       .             .             1440          10            40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "443,4"       .             .             1370          13            230           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "444,1"       .             .             1540          4             40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "446,8"       .             .             1380          8             40            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "447,6"       .             .             1390          7             60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "447,7"       .             .             1400          14            80            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "447,8"       .             .             1360          5             90            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "448,7"       .             .             1400          15            300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "449,6"       .             .             1380          2             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "451,9"       .             .             1380          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "454,1"       .             .             1390          7             180           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "457,1"       .             .             1350          2             300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "459,1"       .             .             1370          10            60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "460,1"       .             .             1340          12            360           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "461,1"       .             .             1360          4             45            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "463,8"       .             .             -999          11            100           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "466,1"       .             .             1470          4             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "467,7"       .             .             1440          2             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "471,8"       .             .             1350          2             300           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "472,8"       .             .             1360          1             60            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "474,8"       .             .             1360          5             260           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "478,7"       .             .             1400          5             80            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "510,5"       .             .             1310          5             210           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "513,5"       .             .             1240          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "514,7"       .             .             1420          5             240           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "518,3"       .             .             1290          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "518,6"       .             .             1465          20            150           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "518,7"       .             .             1425          15            270           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "520,7"       .             .             1300          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "521,1"       .             .             1430          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "523,1"       .             .             1350          7             270           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "529,2"       .             .             1480          7             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "530,1"       .             .             1440          9             320           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "530,1"       .             .             1400          -999          -999          .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "531,1"       .             .             1460          9             160           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "533,3"       .             .             1390          10            30            .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "534,8"       .             .             1480          5             140           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
.             " "           "535,4"       .             .             1360          4             220           .             " "                   " "                   .             .             "SITE_DATA_86"            .             " " 
